dropoff_site,load_id,load_time,load_type,load_weight,report_date,route_number,route_type
Jomoro,1,2008,RECYCLING - SINGLE STREAM,134032,2008,DW1,RECYCLING - SINGLE STREAM
Ellembelle,2,2008,SWEEPING,8306,2008,NW10-R,SWEEPING
Nzema East,3,2008,RECYCLING - SINGLE STREAM,40116,2008,RHBU20,RECYCLING - SINGLE STREAM
Ahanta West,4,2008,SWEEPING,45061,2008,DSS04,SWEEPING
Sekondi Takoradi Metropolis,5,2008,YARD TRIMMING,100969,2008,YH08,YARD TRIMMING
Kwesimintsim,6,2008,RECYCLING - COMINGLE,24048,2008,RH13,RECYCLING - COMINGLE
Takoradi,7,2008,GARBAGE COLLECTIONS,39284,2008,PW12,GARBAGE COLLECTIONS
Sekondi,8,2008,GARBAGE COLLECTIONS,94552,2008,PAM02,GARBAGE COLLECTIONS
Essikadu-Ketan,9,2008,RECYCLING - PAPER,65813,2008,RW13,RECYCLING - PAPER
Shama,10,2008,GARBAGE COLLECTIONS,138057,2008,PF33,GARBAGE COLLECTIONS
Mpohor-Wassa East,11,2008,GARBAGE COLLECTIONS,28126,2008,SXSW2017,GARBAGE COLLECTIONS
Tarkwa Nsuaem Municipal,12,2008,GARBAGE COLLECTIONS,12487,2008,PAT77,GARBAGE COLLECTIONS
Prestea/Huni Valley,13,2008,RECYCLING - SINGLE STREAM,114949,2008,RTAU16,RECYCLING - SINGLE STREAM
Wassa Amenfi East,14,2008,YARD TRIMMING,100289,2008,YH03,YARD TRIMMING
Wassa Amenfi West,15,2008,RECYCLING - SINGLE STREAM,5935,2008,RMAS35,RECYCLING - SINGLE STREAM
Aowin/Suaman,16,2008,SWEEPING,132383,2008,C15-R,SWEEPING
Sefwi Akontombra,17,2008,SWEEPING,107348,2008,DSN02,SWEEPING
Sefwi Wiawso,18,2008,RECYCLING - SINGLE STREAM,123282,2008,RWAS41,RECYCLING - SINGLE STREAM
Sefwi Bibiani-Ahwiaso Bekwai,19,2008,SWEEPING,42463,2008,SC07-R,SWEEPING
Juabeso,20,2008,BRUSH,13647,2008,BR10,BRUSH
Bia,21,2008,RECYCLING - PAPER,103279,2008,RF13,RECYCLING - PAPER
Komenda,22,2008,GARBAGE COLLECTIONS,31580,2008,PAH61,GARBAGE COLLECTIONS
Cape Coast Metropolis,23,2008,RECYCLING - SINGLE STREAM,31965,2008,RFBU20,RECYCLING - SINGLE STREAM
Cape Coast South,24,2008,SWEEPING,14249,2008,SC12-R,SWEEPING
Cape Coast North,25,2008,RECYCLING - PAPER,33146,2008,RF04,RECYCLING - PAPER
Abura-Asebu-Kwamankese,26,2008,RECYCLING - PAPER,67247,2008,IRM1,RECYCLING - PAPER
Mfantsiman Municipal,27,2008,GARBAGE COLLECTIONS,36286,2008,PAM82,GARBAGE COLLECTIONS
Ajumako-Enyan-Essiam,28,2008,GARBAGE COLLECTIONS,28019,2008,PAH61,GARBAGE COLLECTIONS
Gomoa West,29,2008,GARBAGE COLLECTIONS,29311,2008,PAM05,GARBAGE COLLECTIONS
Effutu Municipal,30,2008,YARD TRIMMING,111479,2008,YF02,YARD TRIMMING
Gomoa East,31,2008,GARBAGE COLLECTIONS,10863,2008,PAW65,GARBAGE COLLECTIONS
Ewutu Senya,32,2008,GARBAGE COLLECTIONS,70542,2008,PAT70,GARBAGE COLLECTIONS
Agona East,33,2008,GARBAGE COLLECTIONS,112705,2008,PAF05,GARBAGE COLLECTIONS
Agona West,34,2008,SWEEPING,130846,2008,NW11-R,SWEEPING
Brakwa,35,2008,BULK,15033,2008,BU14,BULK
Assin South,36,2008,RECYCLING - SINGLE STREAM,139739,2008,RHAU22,RECYCLING - SINGLE STREAM
Assin North Municipal,37,2008,BRUSH,39102,2008,BR15,BRUSH
Twifo-Heman-Lower Denkyira,38,2008,GARBAGE COLLECTIONS,24381,2008,PF23,GARBAGE COLLECTIONS
Upper Denkyira East Municipal,39,2008,SWEEPING,26336,2008,DSN02,SWEEPING
Upper Denkyira West,40,2008,YARD TRIMMING,2652,2008,YT04,YARD TRIMMING
Weija (Ga South) Municipal,41,2008,YARD TRIMMING,105154,2008,YW02,YARD TRIMMING
Ga West Municipal,42,2008,GARBAGE COLLECTIONS,42348,2008,PT13,GARBAGE COLLECTIONS
Ga East Municipal,43,2008,YARD TRIMMING,28072,2008,YW06,YARD TRIMMING
Accra Metropolis,44,2008,BULK,57882,2008,HAFLDBU15,BULK
Ablekuma South,45,2008,RECYCLING - SINGLE STREAM,71255,2008,RTBU12,RECYCLING - SINGLE STREAM
Ablekuma Central,46,2008,GARBAGE COLLECTIONS,87133,2008,PW10,GARBAGE COLLECTIONS
Ashiedu Keteke,47,2008,BRUSH,67031,2008,BR12,BRUSH
Osu Klotey,48,2008,GARBAGE COLLECTIONS,15441,2008,PH41,GARBAGE COLLECTIONS
La,49,2008,GARBAGE COLLECTIONS,31648,2008,PAM09,GARBAGE COLLECTIONS
Ayawaso East,50,2008,BRUSH,69966,2008,BRPN01,BRUSH
Ayawaso Central,51,2008,GARBAGE COLLECTIONS,7400,2008,PF10,GARBAGE COLLECTIONS
Okai Koi South,52,2008,YARD TRIMMING,18051,2008,YT10,YARD TRIMMING
Ablekuma North,53,2008,GARBAGE COLLECTIONS,37962,2008,PAW83,GARBAGE COLLECTIONS
Okai Koi North,54,2008,YARD TRIMMING,21110,2008,YH06,YARD TRIMMING
Ayawaso West Wogon,55,2008,RECYCLING - SINGLE STREAM,19065,2008,RMBU20,RECYCLING - SINGLE STREAM
Adenta Municipal,56,2008,RECYCLING - COMINGLE,15337,2008,RT31,RECYCLING - COMINGLE
Ledzokuku/Krowor Municipal,57,2008,GARBAGE COLLECTIONS,8234,2008,PAW50,GARBAGE COLLECTIONS
