TotalPop,Urban,Rural,Districts,Years,TotWasteperday,TotWasteperyear,Organics,Plastics,Inert,Miscellaneous,Paper,Metals,Glass,LeatherRubber,Textiles,Employed,Umemployed,Literate,NotLiterate
150107,53084,97023,Jomoro,2010,70550.29,25750855.85,15708022.0685,3605119.819,1545051.351,1287542.7925,1287542.7925,772525.6755,772525.6755,257508.5585,257508.5585,54297,29170,32123,71705
87501,18010,69491,Ellembelle,2010,41125.47,15010796.55,9156585.8955,2101511.517,900647.793,750539.8275,750539.8275,450323.8965,450323.8965,150107.9655,150107.9655,27945,20785,16033,45282
60828,20655,40173,Nzema East,2010,28589.16,10435043.4,6365376.474,1460906.076,626102.604,521752.17,521752.17,313051.302,313051.302,104350.434,104350.434,22416,11159,12535,29102
106215,31286,74929,Ahanta West,2010,49921.05,18221183.25,11114921.7825,2550965.655,1093270.995,911059.1625,911059.1625,546635.4975,546635.4975,182211.8325,182211.8325,41729,15791,19189,52842
559548,537475,22073,Sekondi Takoradi Metropolis,2010,262987.56,95990459.4,58554180.234,13438664.316,5759427.564,4799522.97,4799522.97,2879713.782,2879713.782,959904.594,959904.594,207912,145750,44704,379264
232617,224876,7741,Kwesimintsim,2010,109329.99,39905446.35,24342322.2735,5586762.489,2394326.781,1995272.3175,1995272.3175,1197163.3905,1197163.3905,399054.4635,399054.4635,85084,62406,18016,157786
97352,97352,NAN,Takoradi,2010,45755.44,16700735.6,10187448.716,2338102.984,1002044.136,835036.78,835036.78,501022.068,501022.068,167007.356,167007.356,38257,27035,7193,69817
70361,70361,NAN,Sekondi,2010,33069.67,12070429.55,7362962.0255,1689860.137,724225.773,603521.4775,603521.4775,362112.8865,362112.8865,120704.2955,120704.2955,25803,18770,5673,48526
159218,144886,14332,Essikadu-Ketan,2010,74832.46,27313847.9,16661447.219,3823938.706,1638830.874,1365692.395,1365692.395,819415.437,819415.437,273138.479,273138.479,58768,37539,13822,103135
81966,46070,35896,Shama,2010,38524.02,14061267.3,8577373.053,1968577.422,843676.038,703063.365,703063.365,421838.019,421838.019,140612.673,140612.673,28875,15448,15384,41099
123996,17065,106931,Mpohor-Wassa East,2010,58278.12,21271513.8,12975623.418,2978011.932,1276290.828,1063575.69,1063575.69,638145.414,638145.414,212715.138,212715.138,48964,18328,21273,62521
90477,27405,63072,Tarkwa Nsuaem Municipal,2010,42524.19,15521329.35,9468010.9035,2172986.109,931279.761,776066.4675,776066.4675,465639.8805,465639.8805,155213.2935,155213.2935,34138,19176,11181,52505
159304,59093,100211,Prestea/Huni Valley,2010,74872.88,27328601.2,16670446.732,3826004.168,1639716.072,1366430.06,1366430.06,819858.036,819858.036,273286.012,273286.012,63671,25427,23514,85463
83478,5750,77728,Wassa Amenfi East,2010,39234.66,14320650.9,8735597.049,2004891.126,859239.054,716032.545,716032.545,429619.527,429619.527,143206.509,143206.509,33205,12092,15190,41213
161166,44203,116963,Wassa Amenfi West,2010,75748.02,27648027.3,16865296.653,3870723.822,1658881.638,1382401.365,1382401.365,829440.819,829440.819,276480.273,276480.273,61194,27210,30296,78652
138415,19724,118691,Aowin/Suaman,2010,65055.05,23745093.25,14484506.8825,3324313.055,1424705.595,1187254.6625,1187254.6625,712352.7975,712352.7975,237450.9325,237450.9325,54626,23429,36069,58360
82467,7287,75180,Sefwi Akontombra,2010,38759.49,14147213.85,8629800.4485,1980609.939,848832.831,707360.6925,707360.6925,424416.4155,424416.4155,141472.1385,141472.1385,35127,9979,18999,35893
139200,49825,89375,Sefwi Wiawso,2010,65424,23879760,14566653.6,3343166.4,1432785.6,1193988,1193988,716392.8,716392.8,238797.6,238797.6,53039,23646,27245,68362
123272,35137,88135,Sefwi Bibiani-Ahwiaso Bekwai,2010,57937.84,21147311.6,12899860.076,2960623.624,1268838.696,1057365.58,1057365.58,634419.348,634419.348,211473.116,211473.116,48379,20273,19358,66684
111749,12547,99202,Juabeso,2010,52522.03,19170540.95,11694029.9795,2683875.733,1150232.457,958527.0475,958527.0475,575116.2285,575116.2285,191705.4095,191705.4095,51381,10318,23967,51046
116332,23353,92979,Bia,2010,54676.04,19956754.6,12173620.306,2793945.644,1197405.276,997837.73,997837.73,598702.638,598702.638,199567.546,199567.546,48154,16557,25618,52536
144705,51690,93015,Komenda,2010,68011.35,24824142.75,15142727.0775,3475379.985,1489448.565,1241207.1375,1241207.1375,744724.2825,744724.2825,248241.4275,248241.4275,50360,27121,26402,74389
169894,130348,39546,Cape Coast Metropolis,2010,79850.18,29145315.7,17778642.577,4080344.198,1748718.942,1457265.785,1457265.785,874359.471,874359.471,291453.157,291453.157,57664,56291,13776,120170
84337,83561,776,Cape Coast South,2010,39638.39,14468012.35,8825487.5335,2025521.729,868080.741,723400.6175,723400.6175,434040.3705,434040.3705,144680.1235,144680.1235,33187,18508,8417,55608
85557,46787,38770,Cape Coast North,2010,40211.79,14677303.35,8953155.0435,2054822.469,880638.201,733865.1675,733865.1675,440319.1005,440319.1005,146773.0335,146773.0335,24477,37783,5359,64562
117185,39428,77757,Abura-Asebu-Kwamankese,2010,55076.95,20103086.75,12262882.9175,2814432.145,1206185.205,1005154.3375,1005154.3375,603092.6025,603092.6025,201030.8675,201030.8675,43122,18809,23680,57547
196563,99156,97407,Mfantsiman Municipal,2010,92384.61,33720382.65,20569433.4165,4720853.571,2023222.959,1686019.1325,1686019.1325,1011611.4795,1011611.4795,337203.8265,337203.8265,68126,37361,35024,102100
138046,43996,94050,Ajumako-Enyan-Essiam,2010,64881.62,23681791.3,14445892.693,3315450.782,1420907.478,1184089.565,1184089.565,710453.739,710453.739,236817.913,236817.913,51628,18173,22419,71037
