TotalPop,Urban,Rural,Districts,Years,TotWasteperday,Organics,Plastics,Inert,Miscellaneous,Paper,Metals,Glass,LeatherRubber,Textiles,Employed,Umemployed,Literate,NotLiterate
150107,53084,97023,Jomoro,2010,70550.29,43035.6769,9877.0406,4233.0174,3527.5145,3527.5145,2116.5087,2116.5087,705.5029,705.5029,54297,29170,32123,71705
87501,18010,69491,Ellembelle,2010,41125.47,25086.5367,5757.5658,2467.5282,2056.2735,2056.2735,1233.7641,1233.7641,411.2547,411.2547,27945,20785,16033,45282
60828,20655,40173,Nzema East,2010,28589.16,17439.3876,4002.4824,1715.3496,1429.458,1429.458,857.6748,857.6748,285.8916,285.8916,22416,11159,12535,29102
106215,31286,74929,Ahanta West,2010,49921.05,30451.8405,6988.947,2995.263,2496.0525,2496.0525,1497.6315,1497.6315,499.2105,499.2105,41729,15791,19189,52842
559548,537475,22073,Sekondi Takoradi Metropolis,2010,262987.56,160422.4116,36818.2584,15779.2536,13149.378,13149.378,7889.6268,7889.6268,2629.8756,2629.8756,207912,145750,44704,379264
232617,224876,7741,Kwesimintsim,2010,109329.99,66691.2939,15306.1986,6559.7994,5466.4995,5466.4995,3279.8997,3279.8997,1093.2999,1093.2999,85084,62406,18016,157786
97352,97352,NAN,Takoradi,2010,45755.44,27910.8184,6405.7616,2745.3264,2287.772,2287.772,1372.6632,1372.6632,457.5544,457.5544,38257,27035,7193,69817
70361,70361,NAN,Sekondi,2010,33069.67,20172.4987,4629.7538,1984.1802,1653.4835,1653.4835,992.0901,992.0901,330.6967,330.6967,25803,18770,5673,48526
159218,144886,14332,Essikadu-Ketan,2010,74832.46,45647.8006,10476.5444,4489.9476,3741.623,3741.623,2244.9738,2244.9738,748.3246,748.3246,58768,37539,13822,103135
81966,46070,35896,Shama,2010,38524.02,23499.6522,5393.3628,2311.4412,1926.201,1926.201,1155.7206,1155.7206,385.2402,385.2402,28875,15448,15384,41099
123996,17065,106931,Mpohor-Wassa East,2010,58278.12,35549.6532,8158.9368,3496.6872,2913.906,2913.906,1748.3436,1748.3436,582.7812,582.7812,48964,18328,21273,62521
90477,27405,63072,Tarkwa Nsuaem Municipal,2010,42524.19,25939.7559,5953.3866,2551.4514,2126.2095,2126.2095,1275.7257,1275.7257,425.2419,425.2419,34138,19176,11181,52505
159304,59093,100211,Prestea/Huni Valley,2010,74872.88,45672.4568,10482.2032,4492.3728,3743.644,3743.644,2246.1864,2246.1864,748.7288,748.7288,63671,25427,23514,85463
83478,5750,77728,Wassa Amenfi East,2010,39234.66,23933.1426,5492.8524,2354.0796,1961.733,1961.733,1177.0398,1177.0398,392.3466,392.3466,33205,12092,15190,41213
161166,44203,116963,Wassa Amenfi West,2010,75748.02,46206.2922,10604.7228,4544.8812,3787.401,3787.401,2272.4406,2272.4406,757.4802,757.4802,61194,27210,30296,78652
138415,19724,118691,Aowin/Suaman,2010,65055.05,39683.5805,9107.707,3903.303,3252.7525,3252.7525,1951.6515,1951.6515,650.5505,650.5505,54626,23429,36069,58360
82467,7287,75180,Sefwi Akontombra,2010,38759.49,23643.2889,5426.3286,2325.5694,1937.9745,1937.9745,1162.7847,1162.7847,387.5949,387.5949,35127,9979,18999,35893
139200,49825,89375,Sefwi Wiawso,2010,65424,39908.64,9159.36,3925.44,3271.2,3271.2,1962.72,1962.72,654.24,654.24,53039,23646,27245,68362
123272,35137,88135,Sefwi Bibiani-Ahwiaso Bekwai,2010,57937.84,35342.0824,8111.2976,3476.2704,2896.892,2896.892,1738.1352,1738.1352,579.3784,579.3784,48379,20273,19358,66684
111749,12547,99202,Juabeso,2010,52522.03,32038.4383,7353.0842,3151.3218,2626.1015,2626.1015,1575.6609,1575.6609,525.2203,525.2203,51381,10318,23967,51046
116332,23353,92979,Bia,2010,54676.04,33352.3844,7654.6456,3280.5624,2733.802,2733.802,1640.2812,1640.2812,546.7604,546.7604,48154,16557,25618,52536
144705,51690,93015,Komenda,2010,68011.35,41486.9235,9521.589,4080.681,3400.5675,3400.5675,2040.3405,2040.3405,680.1135,680.1135,50360,27121,26402,74389
169894,130348,39546,Cape Coast Metropolis,2010,79850.18,48708.6098,11179.0252,4791.0108,3992.509,3992.509,2395.5054,2395.5054,798.5018,798.5018,57664,56291,13776,120170
84337,83561,776,Cape Coast South,2010,39638.39,24179.4179,5549.3746,2378.3034,1981.9195,1981.9195,1189.1517,1189.1517,396.3839,396.3839,33187,18508,8417,55608
85557,46787,38770,Cape Coast North,2010,40211.79,24529.1919,5629.6506,2412.7074,2010.5895,2010.5895,1206.3537,1206.3537,402.1179,402.1179,24477,37783,5359,64562
117185,39428,77757,Abura-Asebu-Kwamankese,2010,55076.95,33596.9395,7710.773,3304.617,2753.8475,2753.8475,1652.3085,1652.3085,550.7695,550.7695,43122,18809,23680,57547
196563,99156,97407,Mfantsiman Municipal,2010,92384.61,56354.6121,12933.8454,5543.0766,4619.2305,4619.2305,2771.5383,2771.5383,923.8461,923.8461,68126,37361,35024,102100
138046,43996,94050,Ajumako-Enyan-Essiam,2010,64881.62,39577.7882,9083.4268,3892.8972,3244.081,3244.081,1946.4486,1946.4486,648.8162,648.8162,51628,18173,22419,71037
