Code in questionnaire,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,,149,150,151,152,153,154,155,156,157,158,159,160,161,162,,,,,,
CaseID,Date,Country,Province,Town,Latitude,Longitude,Climate,Precipitation,Urbanpopulation(%of total population),Wastegenerationrate(kg/person/day),CO2emission(capita),Ecologicalfootprint(gha/capita),GDP (US$/year/person),Countrypopulation,CityPopulation,Density (persons/km2),Lifeexpectancyboth (years),Healthlifeexpectancyatbirth(years),Perinatalmortalityrate(deaths in the first week of life per 1,000 live births),Neonatalmortalityrate(death during the first 28 days of life per 1000 live births),Adultmortalityrate(probability of dying between the ages of 15 and 60 per 1000 adults),Educationexpenditures(percentage of GDP),DisposalSite,UWHH,UWInstitutional,UWConstruction,UWHC,UWAgriculture,UWIndustry,UWCommercial,HouseholdSeparation,BusinessSeparation,PlasticSeparation,PaperSeparation,MetalSeparation,GlassSeparation,OrganicSeparation,BatterySeparation,MedicalSeparation,ElectricElectronicSeparation,Dispersion,WCbyMun,WCbyPS,WCbyWP,WCbyChildren,WCbyPPP,WCbyTS,CommercialFrecuency,InnerCityFrequency,RuralAreaFrequency,Collectionsystem,CSwtRickshaw,CSwtWheelbarrow,CSwtTruck,CSwtTractor,CSwtCompactor,CSwtAnimal,CSwtTricycle,CSwtMotorcycle,CSwtHandtrolley,CollectionFee (units of their actual currency),FittingTime,TransferStationsPlaced,Littering,StreetAsTransferStation,TransferStationSchedule,IllegalPoints,UncoveredIllegDisSite,Distance (km),WasteTreatment,ControlHCW,CompostingLevel,BurningLevel,QualtiyCompost,CoveredDisposal,Performance,StreetHazardousWaste,HazardousWasteTreatment,ReductionStrategies,MunicipalityCampaigns,ShoopingBags,NGOreductionCampaign,SchoolReductionCampaigns,ReuseAwareness,RestWasteToAnimals,PaperBottleUse,MetalScrapUse,WastePicFeeAssociated,RecyclableMatBuyingCompanies,RecyclingCompaniesinSurrCity,WastepickerCollection,RecyclingCompaniesincountry,BiogasProduction,MunKnowledgeCityWaste,SolidWasteManagementPlan,Standards,Enforcement,EquipmentAvai,SuitInfrastructure,Resource,StrucCollection,EfficiencyColl,AvaiTransportFac,QualRoads,TechnicalKnowledge,GoodPractices,DecisionMaking,PerceivedCost,AvailabilityLowCost,ProfessionalsAvailSW,SkilledPersonnel,CompostMarket,HealthCampaigns,EnvironmentCampaigns,FreeWasteManagement,CostRecovery,PayWillingness,CostingSystem,LocalGovernmentFinancing,GovernmentalFinancing,EIFees,EISubsidies,EITariff,EITaxes,PrivateParticipation,ThirdPartyInvestment,AidDependency,Mindset,PublicAwareness,SolutionWillingness,StakeholderCollaboration,PublicPlatforms,LeaderInterest,PublicPrivateTrust,Criminalization,CommunicationCSLocalG,FinancesTransfer,GovernmentAccountability,EPRresponsibility,EfficiencyManagement,MunicipalityOrganisation,DepartmentCoordination,WorkersWillingChange,PrioritySWM,PoliticalInterestSWM,WorkerMotivation,CorruptionLevel,ServicePartnerships,Cooperation,SharingGoals,PartnerPower,Matchmaking,AdequatePolicy,EnvironmentalLaw,LawEnforcement,ImplementationEnforcement,IncomeFees,Localknowledgeavailable,SumEffquipm,SumAwareness,SumSegregation,SumLegal,,,,,
1, ,Ethiopia,Shewa,Addis Ababa,9.0227,38.7468,3,2,17,0,32,0,1,1,1,344,82824732,3384569,77,2,55,50,57,39,307,5,5,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,3,1,2,1,2,2,1,999,999,0,5,2,2,1,1,1,2,2,2,2,0,5,1,3,1,2,1,1,10,2,6,2,3,3,1,6,3,1,2,2,1,1,1,2,3,1,1,9999,2,2,2,2,2,2,2,2,3,2,2,2,1,3,2,2,1,1,1,4,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,2,1,1,2,1,1,2,2,1,1,1,2,2,1,2,3,2,1,6,3,1,1,1,2,2,999,2,8,3,9,6,
2,April10,Turkey,Amasya,Amasya,40.65,35.8333,2,5,69,1,20,4,0,2,7,8215,74815703,88200,99,3,72,66,36,14,106,2,9,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,2,2,2,7,7,6,5,2,2,1,2,1,2,2,2,2,1,5,2,1,2,6,2,6,4,1,1,1,1,3,1,6,1,1,2,2,1,1,1,1,2,2,2,2,9999,5,2,2,2,4,2,2,3,5,4,1,1,4,4,2,2,2,1,4,1,2,1,2,2,1,1,9999,3,1,1,1,2,2,2,1,1,2,3,2,2,4,4,3,5,4,2,4,5,5,2,4,3,3,4,3,5,1,9999,1,5,4,9999,1,5,1,5,5,2,3,14,3,6,16,
3,Nov 09,Indonesia,Maluku,Ambon,-3.7069,128.1626,1,3,52,0,90,1,8,1,1,2349,229964723,330000,132,6,71,60,30,19,206,3,5,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,14,14,0,2,2,2,1,2,1,2,1,1,1,1500/month,3,1,2,1,2,1,1,15,1,1,2,4,2,4,2,2,1,2,1,2,2,2,2,3,2,1,1,2,1,4,2,2,3,1,1,1,3,3,1,1,2,3,2,2,2,1,3,2,1,1,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2,1,3,3,2,2,3,1,3,2,4,2,2,2,2,4,3,3,2,4,2,2,2,9999,1,3,1,3,3,2,2,9,6,7,10,
4,Dec10,Indonesia,Maluku,Ambon,-3.7069,128.1626,1,3,52,0,90,1,8,1,1,2349,229964723,330000,134,1,71,60,30,19,206,3,5,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,14,14,0,2,2,2,1,2,1,2,1,1,1,1500/month,3,1,2,1,2,1,1,15,1,1,2,4,2,4,2,2,1,2,1,2,2,2,2,3,2,1,1,2,1,4,2,2,3,1,1,1,3,3,1,1,2,3,2,2,2,1,3,2,1,1,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2,1,3,3,2,2,3,1,3,2,4,2,2,2,2,4,3,3,2,4,2,2,2,9999,1,3,1,3,3,2,2,9,6,7,10,
5,2008,Suriname,Sipawili,Asidonhopo,4.0099,-55.4679,1,3,75,0,28,4,8,1,0,5888,515124,1000,2,9,69,61,30,12,174,9999,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,9999,6,2,9999,3,6,1,1,9999,9999,6,1,2,3,6,6,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,2,2,1,2,2,3,1,1,2,2,6,6,6,1,1,1,4,1,2,1,1,1,2,3,2,2,1,1,2,9999,9999,9999,9999,2,2,5,2,2,2,2,3,2,1,6,1,1,1,2,2,2,2,2,5,1,1,3,2,1,1,3,1,1,1,1,1,1,3,13,4,6,4,,
6,May10,Sri Lanka,Sabaragamuwa,Balangoda,6.6433,80.7019,1,6,15,0,83,0,6,1,2,2068,20303477,23875,327,9,74,63,20,9,209,11,6,1,1,1,1,2,1,1,2,2,4,5,5,5,5,5,4,3,2,1,1,1,1,1,2,2,14,7,9999,2,2,2,2,1,2,2,2,2,1,9999,4,2,2,2,9999,2,9999,2,4,2,2,1,1,9999,4,1,1,1,1,9999,4,5,1,1,4,2,5,3,1,4,9999,2,4,1,1,1,2,4,1,1,5,1,4,4,3,4,1,4,1,1,1,1,1,9999,4,1,1,1,1,2,2,2,1,1,2,9999,2,1,2,3,3,4,3,2,3,3,4,9999,3,4,4,4,4,5,4,2,1,4,4,2,3,3,1,3,3,1,2,9,10,26,10,
7,Nov 09,Indonesia,Aceh,Banda Ac,5.5462,95.3191,1,3,52,0,90,1,8,1,1,2349,229964723,393000,132,6,71,60,30,19,206,3,5,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,5,1,2,1,1,1,2,2,2,6,7,3,2,2,2,1,2,1,2,1,2,2,7500-15000h/month,5,2,1,3,6,1,2,5,1,1,2,1,1,1,4,1,1,1,1,1,3,4,1,2,2,1,5,4,1,3,2,2,3,1,2,9999,4,3,2,1,3,4,3,3,3,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2,2,3,2,1,3,1,3,2,2,3,2,3,4,4,3,2,2,3,2,9999,3,4,1,2,3,1,3,12,9,12,10,
8,Dec2010,Indonesia,Aceh,Banda Ac,5.5462,95.3191,1,3,52,0,90,1,8,1,1,2349,229964723,393000,134,1,71,60,30,19,206,3,5,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,5,1,2,1,1,1,2,2,2,6,7,3,2,2,2,1,2,1,2,1,2,2,7500-15000h/month,5,2,1,3,6,1,2,5,1,1,2,1,1,1,4,1,1,1,1,1,3,4,1,2,2,1,5,4,1,3,2,2,3,1,2,9999,4,3,2,1,3,4,3,3,3,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2,2,3,2,1,3,1,3,2,2,3,2,3,4,4,3,2,2,3,2,9999,3,4,1,2,3,1,3,12,9,12,10,
9,Feb08,Thailand,Bangkok,Bangkok,13.7324,100.4762,1,3,33,1,10,4,1,2,4,4043,67386383,12000000,120,4,69,62,20,10,209,4,9,1,1,1,1,1,2,2,1,2,2,2,3,3,3,2,2,4,2,3,1,1,1,2,2,2,5,5,3,5,2,2,1,2,1,2,2,2,2,1.12,4,1,2,2,3,2,2,9999,5,4,2,2,2,3,3,2,3,1,1,2,4,5,1,4,3,3,4,4,4,5,1,1,5,1,1,1,4,4,2,1,5,4,4,2,2,3,3,2,1,1,1,1,1,1,2,3,1,1,1,1,2,2,1,1,1,2,3,1,4,4,4,4,3,2,3,3,3,2,4,4,4,3,5,4,3,3,1,4,4,1,3,4,1,3,3,1,2,14,10,14,11,
10,March10,Thailand,Bangkok,Bangkok,13.7234,100.4762,1,3,33,1,10,4,1,2,4,3893,67764033,12000000,126,9,69,62,20,10,209,4,9,1,1,1,1,1,2,2,1,2,2,2,3,3,3,2,2,4,2,3,1,1,1,2,2,2,5,5,3,5,2,2,1,2,1,2,2,2,2,1.12,4,1,2,2,3,2,2,9999,5,4,2,2,2,3,3,2,3,1,1,2,4,5,1,4,3,3,4,4,4,5,1,1,5,1,1,1,4,4,2,1,5,4,4,2,2,3,3,2,1,1,1,1,1,1,2,3,1,1,1,1,2,2,1,1,1,2,3,1,4,4,4,4,3,2,3,3,3,2,4,4,4,3,5,4,3,3,1,4,4,1,3,4,1,3,3,1,2,14,10,14,11,
11,Mar10,China,Beijing,Beijing,39.9042,116.4074,4,3,43,0,80,4,9,2,2,3744,1331460000,17500000,138,6,73,66,35,11,113,2,7,1,1,2,1,1,2,2,1,2,2,3,4,4,3,2,3,5,4,2,1,2,1,2,1,1,7,7,7,2,1,2,1,1,1,2,1,2,2,3.25/year,5,1,1,2,5,1,2,50,5,5,1,1,2,5,4,1,5,1,1,4,2,4,1,3,2,3,5,4,4,4,1,1,5,1,1,1,5,4,1,1,4,5,4,4,4,3,4,1,1,1,2,1,1,2,2,4,1,1,2,1,1,2,2,1,1,2,2,1,3,3,3,5,3,1,3,4,4,2,4,4,4,3,3,5,4,3,2,3,3,1,2,5,1,3,4,1,2,15,9,16,13,
13,April 10,Turkey,Bitlis,Bitlis,38.4,42.1167,2,5,69,0,90,4,0,2,7,8215,74815703,65000,99,3,72,66,36,14,106,2,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,2,1,2,2,2,2,3,6,3,4,2,2,1,1,2,2,2,2,2,0,4,2,3,2,6,1,1,20,1,1,1,1,1,2,6,2,4,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,4,2,2,2,2,2,2,1,2,1,3,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,1,2,5,1,2,2,4,1,2,3,1,2,2,3,2,3,4,4,3,3,3,3,3,2,4,2,2,1,3,1,3,3,1,2,6,3,6,10,
13,Jun 08,Peru,Cannete,Cannete,-11.9579,-77.046,2,1,71,0,47,1,5,2,0,4477,28836700,48500,22,7,73,67,20,13,106,2,7,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,4,1,2,1,1,2,2,2,2,6,6,1,2,2,2,1,2,1,2,1,2,2,8/year,4,2,2,2,4,1,2,20,1,3,1,1,2,1,6,1,1,1,1,3,3,4,1,3,2,1,1,3,3,4,1,2,4,1,1,2,3,3,1,1,3,3,3,3,3,2,1,3,1,1,1,2,1,2,2,3,1,1,1,1,2,2,2,2,1,2,3,1,4,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,1,3,2,2,3,3,1,3,3,1,2,10,9,11,10,
